DateKey;DateId;Year;Quarter;Month;DayofMonth;DayOfWeek;FlightDate
1;1;2022;1;2;28;1;14-08-0033
2;2;2022;1;2;6;7;15-08-0011
3;3;2022;1;2;7;1;14-08-0012
4;4;2022;1;2;8;2;14-08-0013
5;5;2022;1;2;9;3;15-08-0014
6;6;2022;1;2;11;5;14-08-0016
7;7;2022;1;2;12;6;14-08-0017
8;8;2022;1;2;13;7;15-08-0018
9;9;2022;1;2;15;2;14-08-0020
10;10;2022;1;2;17;4;15-08-0022
11;11;2022;1;2;18;5;15-08-0023
12;12;2022;1;2;19;6;14-08-0024
13;13;2022;1;2;20;7;14-08-0025
14;14;2022;1;2;21;1;15-08-0026
15;15;2022;1;2;23;3;14-08-0028
16;16;2022;1;2;24;4;14-08-0029
17;17;2022;1;2;25;5;15-08-0030
18;18;2022;1;2;26;6;15-08-0031
19;19;2022;1;2;27;7;14-08-0032
20;20;2022;1;2;2;3;15-08-0007
21;21;2022;1;2;14;1;15-08-0019
22;22;2022;1;2;16;3;14-08-0021
23;23;2022;1;2;22;2;15-08-0027
24;24;2022;1;2;4;5;14-08-0009
25;25;2022;1;2;5;6;15-08-0010
26;26;2022;1;2;10;4;15-08-0015
27;27;2022;1;2;3;4;14-08-0008
28;28;2022;1;2;1;2;15-08-0006
